SubscriberID,SubscriptionStartDate,PlanType,Region,DeviceType,MonthlyDataGB,MonthlyVoiceMins,MonthlySpendRs,DataGB_Last3Mo_Avg,SpendRs_Last3Mo_Avg,DataGB_SpendRs_Ratio,IsUnderMonetisedFlag
S001,3/15/2022,Postpaid,Urban,Smartphone,42.5,320,550,40.2,540,0.0789,
S002,8/10/2021,Prepaid,Urban,Smartphone,12.3,90,180,11.5,175,0.0657,
S003,12/1/2020,Postpaid,Rural,FeaturePhone,4.7,60,140,5,135,0.037,
S004,11/20/2022,Prepaid,Urban,Smartphone,55,400,700,50.1,680,0.0737,
S005,5/5/2021,Postpaid,Rural,Smartphone,33.8,250,450,30.5,440,0.0767,
S006,7/30/2022,Prepaid,Urban,Smartphone,22.1,150,300,21,290,0.0724,
S007,2/14/2020,Prepaid,Urban,FeaturePhone,3.2,45,120,2.8,110,0.0255,
S008,10/22/2021,Postpaid,Urban,Smartphone,48.7,350,620,46,610,0.0798,
S009,1/12/2022,Prepaid,Rural,Smartphone,15.4,110,250,14,245,0.0629,
S010,3/17/2021,Postpaid,Urban,Smartphone,60.2,500,820,58.3,800,0.0732,
S011,4/5/2022,Prepaid,Urban,Smartphone,27.9,170,320,26.5,315,0.0862,
S012,11/29/2020,Postpaid,Rural,FeaturePhone,6.5,80,160,6.8,155,0.0419,
S013,1/8/2021,Prepaid,Urban,Smartphone,18.7,130,275,17.5,270,0.0688,
S014,9/2/2022,Postpaid,Urban,Smartphone,52.3,380,670,49.7,655,0.078,
S015,6/14/2021,Prepaid,Rural,Smartphone,29.4,200,400,28,390,0.0735,
S016,10/10/2020,Postpaid,Urban,FeaturePhone,5.1,70,150,5.3,145,0.0352,
S017,5/21/2022,Prepaid,Urban,Smartphone,25.7,160,310,24.5,305,0.0843,
S018,9/30/2021,Postpaid,Rural,Smartphone,35.9,260,480,33.5,470,0.0746,
S019,2/14/2022,Prepaid,Urban,Smartphone,20,140,290,19,285,0.0698,
S020,4/18/2021,Postpaid,Urban,Smartphone,57.6,450,790,55,775,0.0737,
S021,8/13/2022,Prepaid,Rural,Smartphone,14.2,100,230,13.5,225,0.061,
S022,7/22/2020,Postpaid,Urban,FeaturePhone,7.8,90,170,8,165,0.0473,
S023,12/1/2021,Prepaid,Urban,Smartphone,30.5,210,420,28.7,415,0.0729,
S024,6/17/2022,Postpaid,Urban,Smartphone,45,330,610,43,600,0.0738,
S025,2/28/2021,Prepaid,Rural,Smartphone,11,95,200,10.2,195,0.0564,
S026,5/10/2020,Postpaid,Urban,FeaturePhone,4,55,130,4.2,125,0.0317,
S027,3/8/2022,Prepaid,Urban,Smartphone,24.8,155,300,23.5,295,0.0839,
S028,11/19/2021,Postpaid,Rural,Smartphone,32.2,230,450,30,440,0.0716,
S029,1/25/2022,Prepaid,Urban,Smartphone,19.6,140,280,18.5,275,0.0713,
S030,1/12/2020,Postpaid,Urban,Smartphone,63.4,520,850,60,830,0.0746,
S031,10/3/2022,Prepaid,Rural,Smartphone,16.8,120,240,15.7,235,0.0706,
S032,7/16/2021,Postpaid,Urban,Smartphone,49.5,340,640,47,630,0.0773,
S033,3/30/2022,Prepaid,Urban,Smartphone,21.4,145,300,20,295,0.0713,
S034,5/5/2021,Prepaid,Rural,Smartphone,13.5,110,225,12.8,220,0.0609,
S035,9/22/2020,Postpaid,Urban,FeaturePhone,8.2,100,190,8.5,185,0.0443,
S036,2/18/2022,Prepaid,Urban,Smartphone,28.7,180,330,27,320,0.0869,
S037,10/11/2021,Postpaid,Rural,Smartphone,37.9,270,500,35.5,490,0.0756,
S038,6/3/2020,Prepaid,Urban,FeaturePhone,2.9,40,110,3.1,105,0.0276,
S039,12/29/2021,Postpaid,Urban,Smartphone,54.1,390,660,51,648,0.0818,
S040,4/25/2022,Prepaid,Rural,Smartphone,18,125,260,17,255,0.0692,
S041,3/9/2021,Postpaid,Urban,Smartphone,58.8,460,780,56.2,765,0.0753,
S042,9/15/2022,Prepaid,Urban,Smartphone,26.5,170,320,25,315,0.0823,
S043,8/4/2021,Prepaid,Rural,Smartphone,15.1,105,230,14,225,0.0656,
S044,11/19/2020,Postpaid,Urban,FeaturePhone,9.3,120,210,9,205,0.0454,
S045,5/29/2022,Prepaid,Urban,Smartphone,23.7,160,310,22,305,0.0769,
S046,6/2/2021,Postpaid,Rural,Smartphone,34.8,240,470,33,460,0.074,
S047,7/10/2022,Prepaid,Urban,Smartphone,29,190,340,27.5,330,0.0853,
S048,9/17/2021,Postpaid,Urban,Smartphone,46.2,320,610,44,600,0.0758,
S049,2/28/2020,Prepaid,Rural,FeaturePhone,5.5,65,150,5.8,145,0.0379,
S050,8/22/2022,Prepaid,Urban,Smartphone,27.2,165,315,25.8,310,0.0864,
S051,11/11/2021,Prepaid,Urban,Smartphone,31.4,210,420,29,405,0.0748,
S052,3/25/2022,Postpaid,Urban,Smartphone,47.8,330,600,45.2,590,0.0797,
S053,8/17/2020,Prepaid,Rural,Smartphone,17.9,130,260,16.5,255,0.0688,
S054,1/5/2022,Postpaid,Urban,Smartphone,56.3,410,730,53,720,0.0771,
S055,4/29/2021,Prepaid,Rural,FeaturePhone,9.6,95,210,9,205,0.0457,
S056,12/13/2020,Prepaid,Urban,Smartphone,24.2,160,320,23,315,0.0756,
S057,7/7/2021,Postpaid,Urban,Smartphone,50.9,360,650,48.5,640,0.0783,
S058,6/21/2022,Prepaid,Urban,Smartphone,28.5,175,330,27,325,0.0864,
S059,2/18/2021,Postpaid,Rural,Smartphone,34.7,240,490,33,480,0.0708,
S060,10/14/2022,Prepaid,Urban,Smartphone,22.9,150,300,21.5,295,0.0763,
S061,3/31/2020,Prepaid,Rural,FeaturePhone,6.1,80,160,6.5,155,0.0381,
S062,5/2/2022,Postpaid,Urban,Smartphone,54.5,390,690,51,680,0.0791,
S063,9/12/2021,Prepaid,Urban,Smartphone,19.3,140,275,18,270,0.0702,
S064,7/29/2022,Postpaid,Urban,Smartphone,45.8,330,610,43,600,0.0751,
S065,6/23/2021,Prepaid,Rural,Smartphone,16.4,120,240,15.5,235,0.0683,
S066,11/6/2020,Postpaid,Urban,FeaturePhone,8.5,100,195,8.7,190,0.0436,
S067,2/10/2022,Prepaid,Urban,Smartphone,27.3,170,310,26,305,0.0881,
S068,10/31/2021,Postpaid,Rural,Smartphone,38.2,280,500,36,490,0.0764,
S069,6/15/2020,Prepaid,Urban,FeaturePhone,5.8,60,140,6,135,0.0414,
S070,8/26/2022,Prepaid,Urban,Smartphone,30.1,200,345,28.7,340,0.0873,
